year,value,anomaly,month,state,type
1945,2.67,2.73,06,IN,drought
1946,-.48,-0.42,06,IN,drought
1947,2.01,2.07,06,IN,drought
1948,.61,0.67,06,IN,drought
1949,1.43,1.49,06,IN,drought
1950,4.22,4.28,06,IN,drought
1951,2.87,2.93,06,IN,drought
1952,2.13,2.19,06,IN,drought
1953,-1.89,-1.83,06,IN,drought
1954,-4.51,-4.45,06,IN,drought
1955,-.55,-0.49,06,IN,drought
1956,-.32,-0.26,06,IN,drought
1957,2.72,2.78,06,IN,drought
1958,1.92,1.98,06,IN,drought
1959,-.97,-0.91,06,IN,drought
1960,1.12,1.18,06,IN,drought
1961,1.78,1.84,06,IN,drought
1962,-1.46,-1.40,06,IN,drought
1963,-1.75,-1.69,06,IN,drought
1964,-2.88,-2.82,06,IN,drought
1965,-3.01,-2.95,06,IN,drought
1966,-1.7,-1.64,06,IN,drought
1967,-.51,-0.45,06,IN,drought
1968,1.08,1.14,06,IN,drought
1969,.41,0.47,06,IN,drought
1970,.3,0.36,06,IN,drought
1971,-.2,-0.14,06,IN,drought
1972,-.43,-0.37,06,IN,drought
1973,2.69,2.75,06,IN,drought
1974,2.37,2.43,06,IN,drought
1975,2.29,2.35,06,IN,drought
1976,.48,0.54,06,IN,drought
1977,-1.97,-1.91,06,IN,drought
1978,.76,0.82,06,IN,drought
1979,1.03,1.09,06,IN,drought
1980,1.95,2.01,06,IN,drought
1981,1.76,1.82,06,IN,drought
1982,1.89,1.95,06,IN,drought
1983,-.32,-0.26,06,IN,drought
1984,-.97,-0.91,06,IN,drought
1985,-1.02,-0.96,06,IN,drought
1986,.3,0.36,06,IN,drought
1987,-1.94,-1.88,06,IN,drought
1988,-3.37,-3.31,06,IN,drought
1989,1.23,1.29,06,IN,drought
1990,2.85,2.91,06,IN,drought
1991,-1.76,-1.70,06,IN,drought
1992,-2.52,-2.46,06,IN,drought
1993,2.8,2.86,06,IN,drought
1994,-.71,-0.65,06,IN,drought
1995,-.06,0.00,06,IN,drought
1996,2.63,2.69,06,IN,drought
